################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.5375613440703602E-02 a       408     0    17     1     8
  1.1931567654935897E-01 a       409     0    17     1     9
 -3.8410874647917126E-01 a       410     0    17     1    10
  9.1094638812404788E-02 a       411     0    17     1    11
 -4.7853452204190024E-02 a       412     0    17     1    12
  8.0101338511002707E-02 a       413     0    17     1    13
 -2.3479814351006517E-02 a       414     0    17     1    14
  6.8689373969628931E-02 a       415     0    17     1    15
  2.5497036266213972E-02 a       416     0    17     1    16
  8.2261867578393350E-02 a       417     0    17     1    17
  1.1181024281639713E-01 a       418     0    17     1    18
 -2.9257839655605189E-01 a       419     0    17     1    19
  1.0886287760772134E-01 a       420     0    17     1    20
 -1.2239958564644050E-01 a       421     0    17     1    21
 -3.3379018723091139E-02 a       422     0    17     1    22
 -4.1858582967174490E-01 a       423     0    17     1    23
  2.6076241333047945E-01 a       424     0    17     1    24
  1.2297055673153767E-01 a       425     0    17     1    25
 -8.1242693253617507E-02 a       426     0    18     1     1
 -2.0831848274397980E-02 a       427     0    18     1     2
 -6.1547513477932927E-02 a       428     0    18     1     3
  1.2395118280624643E-02 a       429     0    18     1     4
  8.4318635075261342E-02 a       430     0    18     1     5
 -1.2566869632424932E-01 a       431     0    18     1     6
  1.1728431424249923E-01 a       432     0    18     1     7
  3.4336558060171433E-02 a       433     0    18     1     8
 -8.4122896127285504E-02 a       434     0    18     1     9
 -3.1490577865499858E-02 a       435     0    18     1    10
  2.5959848130432367E-01 a       436     0    18     1    11
  2.1980459304727587E-01 a       437     0    18     1    12
  1.3366239464568681E-02 a       438     0    18     1    13
  8.3574130593399451E-02 a       439     0    18     1    14
 -6.4320531909547909E-02 a       440     0    18     1    15
  4.7646462212876786E-02 a       441     0    18     1    16
 -2.0250206863521022E-02 a       442     0    18     1    17
  5.2108462862273337E-02 a       443     0    18     1    18
  3.6124277173111570E-02 a       444     0    18     1    19
 -1.2075153122282193E-02 a       445     0    18     1    20
  1.3400426946959668E-01 a       446     0    18     1    21
 -7.4243386702944586E-02 a       447     0    18     1    22
  1.1481722805476750E-01 a       448     0    18     1    23
 -1.6122881759562738E-01 a       449     0    18     1    24
 -2.1233024992611954E-01 a       450     0    18     1    25
 -4.0409578627207476E-01 a       451     0    19     1     1
 -1.5255346414444595E-01 a       452     0    19     1     2
  7.0212509798627670E-03 a       453     0    19     1     3
 -1.6734829111964722E-01 a       454     0    19     1     4
 -1.1934470708362722E-01 a       455     0    19     1     5
  3.9488967355497295E-01 a       456     0    19     1     6
 -4.8786694854236784E-01 a       457     0    19     1     7
 -1.6855049554400900E-01 a       458     0    19     1     8
  1.6902014241651755E-01 a       459     0    19     1     9
  1.5591734358613141E-01 a       460     0    19     1    10
 -4.4050514505555458E-02 a       461     0    19     1    11
 -8.0473609517663400E-02 a       462     0    19     1    12
 -4.9224785019425045E-02 a       463     0    19     1    13
 -1.5722279728868585E-01 a       464     0    19     1    14
 -2.5901741550753882E-01 a       465     0    19     1    15
 -5.6163913454302244E-03 a       466     0    19     1    16
 -2.8462041009591083E-01 a       467     0    19     1    17
 -9.3496998721569469E-02 a       468     0    19     1    18
 -2.5575588197400656E-01 a       469     0    19     1    19
 -2.2325139670571639E-01 a       470     0    19     1    20
  9.4638814870637952E-02 a       471     0    19     1    21
 -2.6923576949661654E-01 a       472     0    19     1    22
  9.3123280929597319E-02 a       473     0    19     1    23
  1.0085416928139389E-01 a       474     0    19     1    24
  3.8076371128051173E-01 a       475     0    19     1    25
  2.9792046458898247E-01 a       476     0    20     1     1
 -8.7153648315365054E-02 a       477     0    20     1     2
